Date,Event,Description
1990-08-02,First Gulf War,Iraq invades Kuwait leading to supply shock and price surge.
1997-07-02,Asian Financial Crisis,Economic turmoil in Asia reduces global oil demand.
2001-09-11,September 11 Attacks,Terrorist attacks in the US lead to market uncertainty and demand concerns.
2003-03-20,Iraq War Invasion,US-led invasion of Iraq impacts a major oil-producing nation.
2005-08-29,Hurricane Katrina,Significant disruption to Gulf of Mexico oil production and refining.
2008-07-11,Global Financial Crisis Peak,Oil prices reach record highs before crashing due to global recession.
2011-02-15,Libyan Civil War,Arab Spring unrest in Libya leads to supply disruptions.
2014-06-19,US Shale Boom / Oil Glut,Excess supply and OPEC's refusal to cut leads to price collapse.
2015-07-14,Iran Nuclear Deal (JCPOA),Sanctions relief leads to return of Iranian oil to global markets.
2016-11-30,OPEC+ Production Cut,First major agreement including non-OPEC members to stabilize prices.
2020-03-08,OPEC-Russia Price War,Disagreement over cuts leads to temporary production surge and price drop.
2020-03-11,COVID-19 Pandemic Lockdown,Global lockdowns lead to unprecedented collapse in oil demand.
2022-02-24,Russia-Ukraine War,Invasion of Ukraine leads to sanctions and supply security concerns.
